date,display_category,top_level_group,listing_count,avg_price_usd,pct_new_condition
2024-09-09,Disassembled vehicles,Disassembled vehicles,89,0.0,0.0
2024-09-10,Disassembled vehicles,Disassembled vehicles,19,0.0,0.0
2024-09-11,Disassembled vehicles,Disassembled vehicles,60,0.0,0.0
2024-09-12,Disassembled vehicles,Disassembled vehicles,32,0.0,0.0
2024-09-13,Disassembled vehicles,Disassembled vehicles,34,0.0,0.0
2024-09-14,Disassembled vehicles,Disassembled vehicles,21,0.0,0.0
2024-09-15,Disassembled vehicles,Disassembled vehicles,52,0.0,0.0
2024-09-16,Disassembled vehicles,Disassembled vehicles,29,0.0,0.0
2024-09-17,Disassembled vehicles,Disassembled vehicles,51,0.0,0.0
2024-09-18,Disassembled vehicles,Disassembled vehicles,26,0.0,0.0
2024-09-19,Disassembled vehicles,Disassembled vehicles,26,0.0,0.0
2024-09-20,Disassembled vehicles,Disassembled vehicles,44,0.0,0.0
2024-09-21,Disassembled vehicles,Disassembled vehicles,105,0.0,0.0
2024-09-22,Disassembled vehicles,Disassembled vehicles,28,0.0,0.0
2024-09-23,Disassembled vehicles,Disassembled vehicles,52,0.0,0.0
2024-09-24,Disassembled vehicles,Disassembled vehicles,82,0.0,0.0
2024-09-25,Disassembled vehicles,Disassembled vehicles,66,0.0,0.0
2024-09-26,Disassembled vehicles,Disassembled vehicles,90,0.0,0.0
2024-09-27,Disassembled vehicles,Disassembled vehicles,80,0.0,0.0
2024-09-28,Disassembled vehicles,Disassembled vehicles,54,0.0,0.0
2024-09-29,Disassembled vehicles,Disassembled vehicles,65,0.0,0.0
2024-09-30,Disassembled vehicles,Disassembled vehicles,117,0.0,0.0
2024-10-01,Disassembled vehicles,Disassembled vehicles,125,0.0,0.0
2024-10-02,Disassembled vehicles,Disassembled vehicles,154,0.0,0.0
2024-10-03,Disassembled vehicles,Disassembled vehicles,116,0.0,0.0
2024-10-04,Disassembled vehicles,Disassembled vehicles,184,0.0,0.0
2024-10-05,Disassembled vehicles,Disassembled vehicles,161,0.0,0.0
2024-10-06,Disassembled vehicles,Disassembled vehicles,280,0.0,0.0
2024-09-07,Disk hub,Rims & Tyres,4,32.5,0.75
2024-09-08,Disk hub,Rims & Tyres,1,55.0,1.0
2024-09-09,Disk hub,Rims & Tyres,0,55.0,1.0
2024-09-10,Disk hub,Rims & Tyres,0,55.0,1.0
2024-09-11,Disk hub,Rims & Tyres,3,31.666666666666668,0.3333333333333333
2024-09-12,Disk hub,Rims & Tyres,0,31.666666666666668,0.3333333333333333
2024-09-13,Disk hub,Rims & Tyres,0,31.666666666666668,0.3333333333333333
2024-09-14,Disk hub,Rims & Tyres,5,44.0,0.6
2024-09-15,Disk hub,Rims & Tyres,3,46.666666666666664,0.0
2024-09-16,Disk hub,Rims & Tyres,0,46.666666666666664,0.0
2024-09-17,Disk hub,Rims & Tyres,0,46.666666666666664,0.0
2024-09-18,Disk hub,Rims & Tyres,0,46.666666666666664,0.0
2024-09-19,Disk hub,Rims & Tyres,2,76.5,0.5
2024-09-20,Disk hub,Rims & Tyres,2,30.5,0.5
2024-09-21,Disk hub,Rims & Tyres,3,52.666666666666664,0.6666666666666666
2024-09-22,Disk hub,Rims & Tyres,1,20.0,0.0
2024-09-23,Disk hub,Rims & Tyres,3,80.66666666666667,0.0
2024-09-24,Disk hub,Rims & Tyres,2,101.0,0.0
2024-09-25,Disk hub,Rims & Tyres,0,101.0,0.0
2024-09-26,Disk hub,Rims & Tyres,2,115.0,0.5
2024-09-27,Disk hub,Rims & Tyres,1,15.0,0.0
2024-09-28,Disk hub,Rims & Tyres,1,120.0,0.0
2024-09-29,Disk hub,Rims & Tyres,1,50.0,0.0
2024-09-30,Disk hub,Rims & Tyres,6,19.0,0.6666666666666666
2024-10-01,Disk hub,Rims & Tyres,10,73.0,0.2
2024-10-02,Disk hub,Rims & Tyres,9,46.55555555555556,0.1111111111111111
2024-10-03,Disk hub,Rims & Tyres,7,47.857142857142854,0.5714285714285714
2024-10-04,Disk hub,Rims & Tyres,7,28.428571428571427,0.42857142857142855
2024-10-05,Disk hub,Rims & Tyres,2,31.5,0.0
2024-10-06,Disk hub,Rims & Tyres,4,35.0,1.0
2024-09-07,Electricity,Auto parts,70,39.47142857142857,0.05714285714285714
2024-09-08,Electricity,Auto parts,91,43.879120879120876,0.8131868131868132
2024-09-09,Electricity,Auto parts,39,99.92307692307692,0.41025641025641024
2024-09-10,Electricity,Auto parts,21,107.47619047619048,0.3333333333333333
2024-09-11,Electricity,Auto parts,50,127.6,0.62
2024-09-12,Electricity,Auto parts,26,177.57692307692307,0.38461538461538464
2024-09-13,Electricity,Auto parts,25,190.08,0.4
2024-09-14,Electricity,Auto parts,15,216.73333333333332,0.4
2024-09-15,Electricity,Auto parts,28,140.71428571428572,0.42857142857142855
2024-09-16,Electricity,Auto parts,85,180.35294117647058,0.5411764705882353
2024-09-17,Electricity,Auto parts,49,75.79591836734694,0.7551020408163265
2024-09-18,Electricity,Auto parts,20,166.6,0.4
2024-09-19,Electricity,Auto parts,34,101.26470588235294,0.5294117647058824
2024-09-20,Electricity,Auto parts,60,126.21666666666667,0.5
2024-09-21,Electricity,Auto parts,31,234.8709677419355,0.25806451612903225
2024-09-22,Electricity,Auto parts,15,70.73333333333333,0.26666666666666666
2024-09-23,Electricity,Auto parts,90,86.35555555555555,0.6777777777777778
2024-09-24,Electricity,Auto parts,100,148.05,0.58
2024-09-25,Electricity,Auto parts,69,139.40579710144928,0.2898550724637681
2024-09-26,Electricity,Auto parts,128,186.9453125,0.71875
2024-09-27,Electricity,Auto parts,75,196.72,0.32
2024-09-28,Electricity,Auto parts,23,61.82608695652174,0.34782608695652173
2024-09-29,Electricity,Auto parts,64,96.0,0.71875
2024-09-30,Electricity,Auto parts,103,100.9126213592233,0.7281553398058253
2024-10-01,Electricity,Auto parts,81,118.5679012345679,0.5679012345679012
2024-10-02,Electricity,Auto parts,79,113.35443037974683,0.5822784810126582
2024-10-03,Electricity,Auto parts,84,150.48809523809524,0.4642857142857143
2024-10-04,Electricity,Auto parts,73,117.58904109589041,0.7534246575342466
2024-10-05,Electricity,Auto parts,120,123.83333333333333,0.31666666666666665
2024-10-06,Electricity,Auto parts,71,158.16901408450704,0.6056338028169014
2024-09-07,Engine and components,Auto parts,245,91.14285714285714,0.5020408163265306
2024-09-08,Engine and components,Auto parts,355,102.91267605633803,0.5859154929577465
2024-09-09,Engine and components,Auto parts,373,148.7882037533512,0.3324396782841823
2024-09-10,Engine and components,Auto parts,712,118.93960674157303,0.6502808988764045
2024-09-11,Engine and components,Auto parts,596,120.71644295302013,0.697986577181208
2024-09-12,Engine and components,Auto parts,428,107.78271028037383,0.6121495327102804
2024-09-13,Engine and components,Auto parts,392,216.4872448979592,0.7117346938775511
2024-09-14,Engine and components,Auto parts,452,121.53318584070796,0.8694690265486725
2024-09-15,Engine and components,Auto parts,328,101.9390243902439,0.6280487804878049
2024-09-16,Engine and components,Auto parts,734,128.9141689373297,0.8228882833787466
2024-09-17,Engine and components,Auto parts,316,140.5253164556962,0.6329113924050633
2024-09-18,Engine and components,Auto parts,508,141.21062992125985,0.7244094488188977
2024-09-19,Engine and components,Auto parts,298,141.06711409395973,0.6241610738255033
2024-09-20,Engine and components,Auto parts,439,233.86788154897494,0.744874715261959
2024-09-21,Engine and components,Auto parts,293,142.83617747440272,0.4641638225255973
2024-09-22,Engine and components,Auto parts,162,123.22222222222223,0.5123456790123457
2024-09-23,Engine and components,Auto parts,617,133.54943273905997,0.6661264181523501
2024-09-24,Engine and components,Auto parts,462,142.72943722943722,0.6125541125541125
2024-09-25,Engine and components,Auto parts,379,111.26121372031662,0.7361477572559367
2024-09-26,Engine and components,Auto parts,436,159.64449541284404,0.6995412844036697
2024-09-27,Engine and components,Auto parts,578,197.74048442906573,0.6764705882352942
2024-09-28,Engine and components,Auto parts,542,132.88376383763838,0.6512915129151291
2024-09-29,Engine and components,Auto parts,335,152.1731343283582,0.6537313432835821
2024-09-30,Engine and components,Auto parts,754,117.88859416445624,0.7360742705570292
2024-10-01,Engine and components,Auto parts,777,159.64993564993566,0.5778635778635779
2024-10-02,Engine and components,Auto parts,1179,137.97116200169634,0.8083121289228159
2024-10-03,Engine and components,Auto parts,979,124.85188968335035,0.7916241062308478
2024-10-04,Engine and components,Auto parts,1225,131.8865306122449,0.7910204081632654
2024-10-05,Engine and components,Auto parts,975,130.61641025641026,0.7528205128205128
2024-10-06,Engine and components,Auto parts,594,120.9023569023569,0.6666666666666666
2024-09-07,Engine and components (GE),Auto parts,0,116.66666666666667,0.3333333333333333
2024-09-08,Engine and components (GE),Auto parts,3,116.66666666666667,0.3333333333333333
2024-09-09,Engine and components (GE),Auto parts,0,116.66666666666667,0.3333333333333333
2024-09-10,Engine and components (GE),Auto parts,0,116.66666666666667,0.3333333333333333
2024-09-11,Engine and components (GE),Auto parts,2,175.0,0.0
2024-09-12,Engine and components (GE),Auto parts,1,679.0,0.0
2024-09-13,Engine and components (GE),Auto parts,0,679.0,0.0
2024-09-14,Engine and components (GE),Auto parts,3,445.3333333333333,0.6666666666666666
2024-09-15,Engine and components (GE),Auto parts,0,445.3333333333333,0.6666666666666666
2024-09-16,Engine and components (GE),Auto parts,1,800.0,1.0
2024-09-17,Engine and components (GE),Auto parts,0,800.0,1.0
2024-09-18,Engine and components (GE),Auto parts,1,250.0,0.0
2024-09-19,Engine and components (GE),Auto parts,0,250.0,0.0
2024-09-20,Engine and components (GE),Auto parts,0,250.0,0.0
2024-09-21,Engine and components (GE),Auto parts,0,250.0,0.0
2024-09-22,Engine and components (GE),Auto parts,1,18.0,0.0
2024-09-23,Engine and components (GE),Auto parts,2,225.0,0.5
2024-09-24,Engine and components (GE),Auto parts,0,225.0,0.5
2024-09-25,Engine and components (GE),Auto parts,0,225.0,0.5
2024-09-26,Engine and components (GE),Auto parts,0,225.0,0.5
2024-09-27,Engine and components (GE),Auto parts,0,225.0,0.5
2024-09-28,Engine and components (GE),Auto parts,1,185.0,1.0
2024-09-29,Engine and components (GE),Auto parts,1,800.0,1.0
2024-09-30,Engine and components (GE),Auto parts,1,77.0,0.0
2024-10-01,Engine and components (GE),Auto parts,0,77.0,0.0
2024-10-02,Engine and components (GE),Auto parts,2,18.5,0.0
2024-10-03,Engine and components (GE),Auto parts,0,18.5,0.0
2024-10-04,Engine and components (GE),Auto parts,0,18.5,0.0
2024-10-05,Engine and components (GE),Auto parts,3,445.0,0.6666666666666666
2024-10-06,Engine and components (GE),Auto parts,0,445.0,0.6666666666666666
2024-09-07,Equipment and tools,Auto parts,3,270.6666666666667,1.0
2024-09-08,Equipment and tools,Auto parts,2,52.0,0.5
2024-09-09,Equipment and tools,Auto parts,6,28.333333333333332,1.0
2024-09-10,Equipment and tools,Auto parts,0,28.333333333333332,1.0
2024-09-11,Equipment and tools,Auto parts,10,106.3,0.9
2024-09-12,Equipment and tools,Auto parts,1,350.0,0.0
2024-09-13,Equipment and tools,Auto parts,1,250.0,0.0
2024-09-14,Equipment and tools,Auto parts,1,250.0,0.0
2024-09-15,Equipment and tools,Auto parts,2,45.0,0.5
2024-09-16,Equipment and tools,Auto parts,17,245.0,0.5294117647058824
2024-09-17,Equipment and tools,Auto parts,8,169.5,1.0
2024-09-18,Equipment and tools,Auto parts,0,169.5,1.0
2024-09-19,Equipment and tools,Auto parts,1,50.0,1.0
2024-09-20,Equipment and tools,Auto parts,19,68.57894736842105,1.0
2024-09-21,Equipment and tools,Auto parts,1,90.0,1.0
2024-09-22,Equipment and tools,Auto parts,19,178.8421052631579,0.9473684210526315
2024-09-23,Equipment and tools,Auto parts,24,52.791666666666664,1.0
2024-09-24,Equipment and tools,Auto parts,7,103.14285714285714,0.8571428571428571
2024-09-25,Equipment and tools,Auto parts,12,116.91666666666667,0.75
2024-09-26,Equipment and tools,Auto parts,8,101.375,1.0
2024-09-27,Equipment and tools,Auto parts,6,244.5,1.0
2024-09-28,Equipment and tools,Auto parts,1,426.0,1.0
2024-09-29,Equipment and tools,Auto parts,15,123.33333333333333,0.8666666666666667
2024-09-30,Equipment and tools,Auto parts,42,226.0,0.9761904761904762
2024-10-01,Equipment and tools,Auto parts,20,182.25,0.85
2024-10-02,Equipment and tools,Auto parts,23,120.47826086956522,0.9130434782608695
2024-10-03,Equipment and tools,Auto parts,297,220.84511784511784,0.9865319865319865
2024-10-04,Equipment and tools,Auto parts,3,87.0,0.6666666666666666
2024-10-05,Equipment and tools,Auto parts,20,177.2,0.8
2024-10-06,Equipment and tools,Auto parts,56,11.517857142857142,0.9821428571428571
2024-09-07,Filters,Auto parts,3,111.66666666666667,0.0
2024-09-08,Filters,Auto parts,30,25.5,0.9333333333333333
2024-09-09,Filters,Auto parts,93,32.98924731182796,0.967741935483871
2024-09-10,Filters,Auto parts,1,100.0,0.0
2024-09-11,Filters,Auto parts,16,110.25,0.875
2024-09-12,Filters,Auto parts,50,21.42,0.98
2024-09-13,Filters,Auto parts,4,66.25,1.0
2024-09-14,Filters,Auto parts,9,41.44444444444444,0.7777777777777778
2024-09-15,Filters,Auto parts,1,10.0,1.0
2024-09-16,Filters,Auto parts,2,19.0,1.0
2024-09-17,Filters,Auto parts,5,43.2,0.6
2024-09-18,Filters,Auto parts,3,34.666666666666664,0.3333333333333333
2024-09-19,Filters,Auto parts,30,7.133333333333334,1.0
2024-09-20,Filters,Auto parts,11,35.09090909090909,0.9090909090909091
2024-09-21,Filters,Auto parts,6,58.833333333333336,0.8333333333333334
2024-09-22,Filters,Auto parts,6,28.0,1.0
2024-09-23,Filters,Auto parts,12,70.5,0.8333333333333334
2024-09-24,Filters,Auto parts,24,96.16666666666667,0.9583333333333334
2024-09-25,Filters,Auto parts,296,27.10810810810811,1.0
2024-09-26,Filters,Auto parts,24,127.83333333333333,1.0
2024-09-27,Filters,Auto parts,95,99.58947368421053,0.9789473684210527
2024-09-28,Filters,Auto parts,25,62.0,1.0
2024-09-29,Filters,Auto parts,32,9.125,1.0
2024-09-30,Filters,Auto parts,12,19.916666666666668,0.9166666666666666
2024-10-01,Filters,Auto parts,47,22.148936170212767,0.9574468085106383
2024-10-02,Filters,Auto parts,24,53.916666666666664,0.9583333333333334
2024-10-03,Filters,Auto parts,29,107.79310344827586,1.0
2024-10-04,Filters,Auto parts,18,66.83333333333333,0.9444444444444444
2024-10-05,Filters,Auto parts,21,11.142857142857142,1.0
2024-10-06,Filters,Auto parts,5,44.4,1.0
2024-09-07,"Gear box, bridge, cardan",Auto parts,15,104.8,0.06666666666666667
2024-09-08,"Gear box, bridge, cardan",Auto parts,59,144.0677966101695,0.5084745762711864
2024-09-09,"Gear box, bridge, cardan",Auto parts,73,154.36986301369862,0.0958904109589041
2024-09-10,"Gear box, bridge, cardan",Auto parts,44,167.20454545454547,0.18181818181818182
2024-09-11,"Gear box, bridge, cardan",Auto parts,65,122.18461538461538,0.35384615384615387
2024-09-12,"Gear box, bridge, cardan",Auto parts,58,203.89655172413794,0.05172413793103448
2024-09-13,"Gear box, bridge, cardan",Auto parts,37,134.3783783783784,0.5675675675675675
2024-09-14,"Gear box, bridge, cardan",Auto parts,16,227.125,0.25
2024-09-15,"Gear box, bridge, cardan",Auto parts,27,206.40740740740742,0.07407407407407407
2024-09-16,"Gear box, bridge, cardan",Auto parts,47,131.80851063829786,0.46808510638297873
2024-09-17,"Gear box, bridge, cardan",Auto parts,78,216.37179487179486,0.6025641025641025
2024-09-18,"Gear box, bridge, cardan",Auto parts,30,172.56666666666666,0.43333333333333335
2024-09-19,"Gear box, bridge, cardan",Auto parts,76,99.07894736842105,0.6578947368421053
2024-09-20,"Gear box, bridge, cardan",Auto parts,70,153.15714285714284,0.6571428571428571
2024-09-21,"Gear box, bridge, cardan",Auto parts,28,143.17857142857142,0.17857142857142858
